tarih;duygu;veri;;;
11.03.2020;0;şimdi veya ben olma ihtimali olan ama olmama ihtimali daha çok olan “İstanbul” gezimi.. korona yüzünden iptal etsem.. çok üzülmemiş olurum;;;
11.03.2020;0;"Günlerdir korona virüsü hakkında o kadar çok yazı okudum ki şu an sadece boş boş gülmek istiyorum. Evet soğuk savaş zamanı.""";;;
11.03.2020;1;"Staj yaptığım okulda koronadan korunmak amaçlı yemekten sonra, ellerini yıkayan herkese dezenfektan sıkılıyor.Ellerini koklayan herkes , tekrardan ellerini yıkıyor.. Bu gidişle korona morona kalmaz??""";;;
11.03.2020;1;"Coronodan korunuyorumdur “korona orana burana korum ha”...""";;;
11.03.2020;0;"Adına şiirler yazılan CORONA ????  Wuhan’dan çıktı yola Tahran’da verdi mola Yayıldı sağa sola Yaktın bizi korona  Sınır tanımaz serbest Kırk iki millet derdest Çare olur mu abdest   Yaktın bizi korona  RİZE'DE  horana İstanbul'da korona Nasıl gidilir sor ona Yaktın bizi korona""";;;
11.03.2020;0;"Toplu ölümler,depremler,çığlar,şehitler,çaresiz kalan komşu müslümanlar,ve tüm dünyayı saran korona!!  Salın cezaevlerini syn başkanım!!  KarantinaDeğil TahliyeEdin   @abdulhamitgul @Akparti  @RTErdogan @MAtillaKaya  @dbdevletbahceli @YildizFeti  @metinfeyzioglu @yilmaztunc""";;;
11.03.2020;0;"Bir virüs çıktı korona ben ölürsem kor ona""";;;
11.03.2020;0;"korona orana burana korum ha ii geceler""";;;
11.03.2020;1;"Bize korona filan işlemez kardeşim, biz tedbiri  doğuştan almışız ,biz Ülkücüyüz, öpüşmüyoruz. Kafa Tokuşturuyoruz..! #koronovirüs""";;;
11.03.2020;0;"Dünya üzerinde korona virüsüyle dalga geceçek tek ülke vardı oda sanırım Türkiye... Sosyal medyadaki paylaşımlar, sokaktaki muhabbetler bunun böyle olduğunu gösterdi bana.  #Corona""";;;
11.03.2020;0;"Korona sayesinde biraz temizlik ogrendiniz aq pislikleri""";;;
11.03.2020;0;" Az Önce Arkadaşa nerelisin dedim KORONA dedi :)         Herkezin psikolojisini bozdu bu hastalık...               Bir Tebessüm                Bin Tefekkür ??  #Corona  #CoronaVirusu  #koronawirus""";;;
11.03.2020;0;"Korona Korona   Yılan girsin yuvana   Cezaevlerine KoronaTedbiri""";;;
11.03.2020;1;"Disarda firtina cikti bizim koye korona morona yaklasamaz??""";;;
11.03.2020;0;"Korona korona bu halk senden söyle nasıl koruna""";;;
11.03.2020;0;"Midem bulaniyo basim donuyo umarim korona degildir boku bokuna ölmiyim nolur ya""";;;
11.03.2020;1;"korona Türkiye şubesi açılmış lan #coronaturkiye""";;;
11.03.2020;1;"Korona virüsü için günde 3-4 defa dirseklere kadar yıkama tavsiye ediyormuş Gelecekte doktorların hastalarina yazacakları reçete Müslümanların kıldığı namaz ve tuttuğu oruç olacaktır  #CoronaVirusu""";;;
11.03.2020;0;"Korona havadan değil,zeminlere temas  ile bulaşma oluyor ise neden ısrarla maske öneriliyor da eldiven önerilmiyor?   #TarafsızBölge""";;;
11.03.2020;0;"Zaten kimsenin elini tuttuğumuz yok korona bize şekil yapma""";;;
11.03.2020;0;"Koronayla ilgili twit atmışsındır kuzenimde korona twitlerini okumadan Twitter'da gezmeye çalışıyorum diye twit atmıştır ?? @yildizsengolgee  #kolonya #coronaturkiye #koronawirus https://t.co/ZQ0JYmb6gq""";;;
11.03.2020;0;"Eğer korona bulaşırsa alırım 40 atlıyı o siktimin çinine baskın yapıp götlerine deniz hıyarı sokarım,pis herifler""";;;
11.03.2020;0;"Siz korona morona siktir edin de buna yakalanmayın tedavisi yok @Ofansif_Defans https://t.co/jOghPRnGe9""";;;
11.03.2020;0;"Babam korona savar olarak limon suyunu buldu sabah akşam limon suyu içiriyo zorla:(""";;;
11.03.2020;0;"Kardeşim okuldan gelip bütün evi kolonyalamış, bu çocuk bile hijyenik önlemler almaya başladıysa korona ciddili gelmiş""";;;
11.03.2020;1;"Ben Kuzey Karolina'nın Wake bölgesinde Raleigh şehrinde yaşıyorum. Burda şu ana kadar 10 kişide #KoronaVirüs görüldü ve benim şehrimde Türkiye de yaşanan panik yok. Neden Türk televizyonları bütün gün Korona Virüs haberleri yayınlıyor? Amaç nedir?  #küreselkaos""";;;
11.03.2020;0;"TÜRKİYE DE İLK KORONAVİRÜS VAKASI ARDINDAN VİRÜS HAKKINDA NE DÜŞÜNÜYORSUNUZ?HALKIN NABZI.KORONA DAYI                    https://t.co/YXA4cGRyur          #İstiklalMarşı""";;;
11.03.2020;0;"Korona virüsü bile geldi sen gelmedin. #okullartatilolsun #viruestuerkiyede""";;;
11.03.2020;0;"Korona virüsü olsan bile sarılırdım sana""";;;
11.03.2020;0;"Korona korkusundan milletimiz artık tertemiz""";;;
